Order	Phase	Feature	Task	Files to create or update	Methods or classes to create first	Depends on	Acceptance or exit check	Status
01	Discovery	Scope freeze	Read the current backend blueprint before coding anything	README.md; PROJECT_DESIGN_DOCUMENTATION.md	Lock final list of roles, endpoints, token flow, OTP flow, reset flow, admin APIs, OAuth providers	None	You have one fixed backend scope and do not redesign mid-build	
02	Bootstrap	Project skeleton	Create the Spring Boot backend app and package structure	backend/pom.xml; backend/src/main/java/com/auth/AuthApplication.java	Add Spring Boot Web, Security, Data JPA, Validation, Mail, Thymeleaf, OAuth2 Client, Redis, PostgreSQL, JWT, Lombok, MapStruct, Test dependencies; AuthApplication.main()	01	`mvn -q -DskipTests compile` can resolve dependencies and the app starts	
03	Bootstrap	Runtime config	Create backend config skeleton and environment placeholders	backend/src/main/resources/application.properties.example	Create properties for server, datasource, redis, mail, jwt, frontend URLs, cookie settings, seed admin, rate limits, OAuth2 providers, OTP/reset expiry	02	App can boot locally once real secrets are supplied	
04	Bootstrap	API versioning	Create centralized API path constants	backend/src/main/java/com/auth/config/ApiPaths.java	ApiPaths.API_BASE; API_V1_BASE; AUTH_V1; USER_V1; ADMIN_V1	02	All controllers can share one versioned base path	
05	Bootstrap	Password encoding	Register password encoder bean	backend/src/main/java/com/auth/config/PasswordConfig.java	passwordEncoder()	02	BCrypt encoder is injectable anywhere passwords are created or checked	
06	Bootstrap	CORS	Create explicit CORS config for frontend origins	backend/src/main/java/com/auth/config/CorsConfig.java	corsConfigurationSource(); parseAllowedOrigins()	03	Browser requests with credentials work only for trusted origins	
07	Bootstrap	Page serialization	Enable stable Page JSON serialization	backend/src/main/java/com/auth/config/SpringDataWebConfig.java	SpringDataWebConfig	02	Admin user pagination responses serialize cleanly	
08	Domain	Roles	Create role enum and role entity	backend/src/main/java/com/auth/entity/RoleName.java; backend/src/main/java/com/auth/entity/Role.java	RoleName enum with ROLE_USER and ROLE_ADMIN; Role entity	02	JPA creates `roles` table and role enum is ready for RBAC	
09	Domain	Users	Create the user aggregate with auth lifecycle fields	backend/src/main/java/com/auth/entity/User.java	User fields: id, name, email, password, enabled, verificationOtp, otpExpiry, resetToken, resetTokenExpiry, refreshToken, refreshTokenExpiry, failedLoginAttempts, accountLockedUntil, failedOtpAttempts, otpLockedUntil, authProvider, authProviderUserId, createdAt, updatedAt, roles; onCreate(); onUpdate()	08; 11	User table can represent local auth, OAuth, OTP, reset, refresh, and lockout state in one record	
10	Persistence	Repositories	Create repositories for users and roles	backend/src/main/java/com/auth/repository/RoleRepository.java; backend/src/main/java/com/auth/repository/UserRepository.java	findByName(); findByEmailIgnoreCase(); existsByEmailIgnoreCase(); findByResetToken(); findByRefreshToken(); findByAuthProviderAndAuthProviderUserId(); countByEnabledTrue()	08; 09	All required DB lookups for auth and admin screens are available	
11	Support	Time utility	Create shared IST timestamp helper	backend/src/main/java/com/auth/util/DateTimeUtil.java	nowInIst(); nowInIst12HourFormat(); formatIst12Hour()	02	Timestamps are consistent across entities, dashboards, and DTOs	
12	Contract	Request DTOs	Create request payload classes first	backend/src/main/java/com/auth/dto/request/RegisterRequest.java; backend/src/main/java/com/auth/dto/request/LoginRequest.java; backend/src/main/java/com/auth/dto/request/OtpVerifyRequest.java; backend/src/main/java/com/auth/dto/request/TokenRefreshRequest.java; backend/src/main/java/com/auth/dto/request/ResetPasswordRequest.java; backend/src/main/java/com/auth/dto/request/UpdatePasswordRequest.java; backend/src/main/java/com/auth/dto/request/ChangePasswordRequest.java	Add validation annotations for name, email, password, token, OTP	01	Request validation fails early before service logic runs	
13	Contract	Response DTOs	Create response and dashboard DTOs	backend/src/main/java/com/auth/dto/response/MessageResponse.java; backend/src/main/java/com/auth/dto/response/AuthResponse.java; backend/src/main/java/com/auth/dto/response/AuthTokens.java; backend/src/main/java/com/auth/dto/UserDto.java; backend/src/main/java/com/auth/dto/UserDashboardDto.java; backend/src/main/java/com/auth/dto/AdminDashboardDto.java	MessageResponse; AuthResponse; AuthTokens record; UserDto; UserDashboardDto; AdminDashboardDto	12	API contracts are fixed before controllers are written	
